"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_parametrized[1]","Test parametrized testing."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests","test_regression","TestAutomationFrameworkRegression","","","Test base page functionality","Verify base page class provides expected functionality."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestGenerateRandomEmail","","","test_custom_domain","Test email generation with custom domain."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestOrderAPI","","","test_get_user_orders","Test retrieving orders for a specific user."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestConvertToDict","","","test_convert_list","Test converting list."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.integration","test_api_examples","TestAPIErrorHandling","","","test_nonexistent_resource","Test API response to nonexistent resource."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestGenerateRandomEmail","","","test_default_domain","Test email generation with default domain."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestChunkList","","","test_chunk_uneven_division","Test chunking list with uneven division."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestOrderFactoryComponent","","","test_order_serialization","Test order serialization to dictionary."
"broken","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestValidatePhone","","","test_invalid_phones","Test invalid phone numbers."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.integration","test_api_examples","TestUserAPI","","","test_create_user","Test creating a new user."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestFlattenDict","","","test_flatten_nested_dict","Test flattening nested dictionary."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureSuite","","","Suite teardown test","This test demonstrates suite-level teardown."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestUserAPI","","","test_user_creation_data_driven[user_data0]","Test user creation with different data sets."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestUserAPI","","","test_user_creation_data_driven[user_data1]","Test user creation with different data sets."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_parametrized[2]","Test parametrized testing."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestChunkList","","","test_chunk_even_division","Test chunking list with even division."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.component","test_factories_component","TestUserFactoryComponent","","","test_create_user_with_custom_data","Test creating user with custom data overrides."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests","test_allure_example","TestAllureExample","","","Parameterized test","This test demonstrates parameterized testing with Allure."
